id,title,vote_average,release_date,runtime,original_language,overview,poster_path,genres
2649,The Game,7.56,1997-09-12,129,en,"In honor of his birthday, San Francisco banker Nicholas Van Orton, a financial genius and a cold-hearted loner, receives an unusual present from his younger brother, Conrad: a gift certificate to play a unique kind of game. In nary a nanosecond, Nicholas finds himself consumed by a dangerous set of ever-changing rules, unable to distinguish where the charade ends and reality begins.",/4UOa079915QjiTA2u5hT2yKVgUu.jpg,"Drama, Thriller, Mystery"
44896,Rango,6.825,2011-03-02,107,en,"When Rango, a lost family pet, accidentally winds up in the gritty, gun-slinging town of Dirt, the less-than-courageous lizard suddenly finds he stands out. Welcomed as the last hope the town has been waiting for, new Sheriff Rango is forced to play his new role to the hilt.",/oVeRl1SRADz74OrY97usmP1flLV.jpg,"Animation, Comedy, Family, Western, Adventure"
676,Pearl Harbor,6.932,2001-05-21,183,en,"The lifelong friendship between Rafe McCawley and Danny Walker is put to the ultimate test when the two ace fighter pilots become entangled in a love triangle with beautiful Naval nurse Evelyn Johnson. But the rivalry between the friends-turned-foes is immediately put on hold when they find themselves at the center of Japan's devastating attack on Pearl Harbor on Dec. 7, 1941.",/y8A0Cvp8WQmZ3bjbnsL53lY0dsC.jpg,"War, History, Romance, Drama"
109414,This Is the End,6.222,2013-06-12,107,en,"While attending a party at James Franco's house, Seth Rogen, Jay Baruchel and many other celebrities are faced with the apocalypse.",/7Wdc3etyBJA4432TYtz6n9GQd1c.jpg,"Action, Comedy"
320288,Dark Phoenix,5.994,2019-06-05,114,en,"The X-Men face their most formidable and powerful foe when one of their own, Jean Grey, starts to spiral out of control. During a rescue mission in outer space, Jean is nearly killed when she's hit by a mysterious cosmic force. Once she returns home, this force not only makes her infinitely more powerful, but far more unstable. The X-Men must now band together to save her soul and battle aliens that want to use Grey's new abilities to rule the galaxy.",/kZv92eTc0Gg3mKxqjjDAM73z9cy.jpg,"Fantasy, Science Fiction, Action, Adventure"
51540,Horrible Bosses,6.565,2011-07-08,98,en,"For Nick, Kurt and Dale, the only thing that would make the daily grind more tolerable would be to grind their intolerable bosses into dust. Quitting is not an option, so, with the benefit of a few-too-many drinks and some dubious advice from a hustling ex-con, the three friends devise a convoluted and seemingly foolproof plan to rid themselves of their respective employers... permanently.",/uQkUwgyFHAm0jGQERPG6Z9o9Zbj.jpg,"Comedy, Crime"
10555,Shark Tale,6.023,2004-09-20,90,en,"Oscar is a small fish whose big aspirations often get him into trouble. Meanwhile, Lenny is a great white shark with a surprising secret that no sea creature would guess: He's a vegetarian. When a lie turns Oscar into an improbable hero and Lenny becomes an outcast, the two form an unlikely friendship.",/r08DpyPyhXcJTfNZAICNGMzcQ8l.jpg,"Animation, Action, Comedy, Family"
200727,"Love, Rosie",7.837,2014-10-16,102,en,"Since the moment they met at age 5, Rosie and Alex have been best friends, facing the highs and lows of growing up side by side. A fleeting shared moment, one missed opportunity, and the decisions that follow send their lives in completely different directions. As each navigates the complexities of life, love, and everything in between, they always find their way back to each other - but is it just friendship, or something more?",/rpD0t7DhzJVadnzgxSYrqljQTL2.jpg,"Romance, Drama, Comedy"
258489,The Legend of Tarzan,5.9,2016-06-29,109,en,"Tarzan, having acclimated to life in London, is called back to his former home in the jungle to investigate the activities at a mining encampment.",/eJrfz178xBGlxjDGxnBXTzWWa4w.jpg,"Fantasy, Action, Adventure"
1933,The Others,7.612,2001-08-02,101,en,"Grace is a religious woman who lives in an old house kept dark because her two children, Anne and Nicholas, have a rare sensitivity to light. When the family begins to suspect the house is haunted, Grace fights to protect her children at any cost in the face of strange events and disturbing visions.",/p8g1vlTvpM6nr2hMMiZ1fUlKF0D.jpg,"Horror, Mystery, Thriller"
2454,The Chronicles of Narnia: Prince Caspian,6.616,2008-05-15,150,en,"One year after their incredible adventures in the Lion, the Witch and the Wardrobe, Peter, Edmund, Lucy and Susan Pevensie return to Narnia to aid a young prince whose life has been threatened by the evil King Miraz. Now, with the help of a colorful cast of new characters, including Trufflehunter the badger and Nikabrik the dwarf, the Pevensie clan embarks on an incredible quest to ensure that Narnia is returned to its rightful heir.",/qxz3WIyjZiSKUhaTIEJ3c1GcC9z.jpg,"Adventure, Family, Fantasy"
567,Rear Window,8.359,1954-08-01,112,en,A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder.,/qitnZcLP7C9DLRuPpmvZ7GiEjJN.jpg,"Thriller, Mystery"
206487,Predestination,7.442,2014-08-28,97,en,"Predestination chronicles the life of a Temporal Agent sent on an intricate series of time-travel journeys designed to prevent future killers from committing their crimes. Now, on his final assignment, the Agent must stop the one criminal that has eluded him throughout time and prevent a devastating attack in which thousands of lives will be lost.",/38Xr1JnV1ZcLQ55zmdSp6n475cZ.jpg,"Science Fiction, Thriller"
207932,Inferno,6.1,2016-10-13,121,en,"After waking up in a hospital with amnesia, professor Robert Langdon and a doctor must race against time to foil a deadly global plot.",/dtMJQzCxw2AY6tfcxhzlFpiD3BM.jpg,"Mystery, Thriller, Action"
270303,It Follows,6.56,2014-09-24,101,en,"When carefree teenager Jay sleeps with her older boyfriend for the first time, she learns that she is the latest recipient of a fatal curse that is passed from victim to victim via sexual intercourse. Death, Jay learns, will creep inexorably toward her as either a friend or a stranger. Jay's friends don't believe her seemingly paranoid ravings, until they too begin to see the phantom assassins and band together to help her defend herself.",/iwnQ1JH1wdWrGYkgWySptJ5284A.jpg,"Horror, Mystery"
80278,The Impossible,7.363,2012-09-09,113,en,"In December 2004, close-knit family Maria, Henry and their three sons begin their winter vacation in Thailand. But the day after Christmas, the idyllic holiday turns into an incomprehensible nightmare when a terrifying roar rises from the depths of the sea, followed by a wall of black water that devours everything in its path. Though Maria and her family face their darkest hour, unexpected displays of kindness and courage ameliorate their terror.",/k0DLCiDbnYywOHiISALbl2EH2NE.jpg,"Adventure, Drama, Thriller"
22881,The Blind Side,7.692,2009-11-20,129,en,"The story of Michael Oher, a homeless and traumatized boy who became an All American football player and first round NFL draft pick with the help of a caring woman and her family.",/bMgq7VBriuBFknXEe9E9pVBYGZq.jpg,Drama
57214,Project X,6.844,2012-03-01,88,en,"Three high school seniors throw a party to make a name for themselves. As the night progresses, things spiral out of control as word of the party spreads.",/lUPDGT3lyRrq8SvWuNWG2DP64bR.jpg,Comedy
18823,Clash of the Titans,5.882,2010-03-26,106,en,"Born of a god but raised as a man, Perseus is helpless to save his family from Hades, vengeful god of the underworld. With nothing to lose, Perseus volunteers to lead a dangerous mission to defeat Hades before he can seize power from Zeus and unleash hell on earth. Battling unholy demons and fearsome beasts, Perseus and his warriors will only survive if Perseus accepts his power as a god, defies fate and creates his own destiny.",/6iHYLipwEyZUPNO8MM3l1yHDaFE.jpg,"Adventure, Fantasy, Action"
341013,Atomic Blonde,6.4,2017-07-26,115,en,An undercover MI6 agent is sent to Berlin during the Cold War to investigate the murder of a fellow agent and recover a missing list of double agents.,/kV9R5h0Yct1kR8Hf8sJ1nX0Vz4x.jpg,"Action, Thriller"
298,Ocean's Thirteen,6.72,2007-06-05,122,en,"Danny Ocean's team of criminals are back and composing a plan more personal than ever. When ruthless casino owner Willy Bank doublecrosses Reuben Tishkoff, causing a heart attack, Danny Ocean vows that he and his team will do anything to bring down Willy Bank along with everything he's got. Even if it means asking for help from an enemy.",/3so07ghzmtbyhpFfzTucEnlfYRO.jpg,"Crime, Thriller"
203801,The Man from U.N.C.L.E.,7.087,2015-08-13,116,en,"At the height of the Cold War, a mysterious criminal organization plans to use nuclear weapons and technology to upset the fragile balance of power between the United States and Soviet Union. CIA agent Napoleon Solo and KGB agent Illya Kuryakin are forced to put aside their hostilities and work together to stop the evildoers in their tracks. The duo's only lead is the daughter of a missing German scientist, whom they must find soon to prevent a global catastrophe.",/zkacOORjKJxRswDurffyvkMwriS.jpg,"Comedy, Action, Adventure"
